src_ip,dst_ip,src_port,dst_port,protocol,timestamp,duration,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,syn_flags,rst_flags,ack_flags,label
10.0.0.16,10.0.0.5,55061,80,6,2026-09-08 10:00:23,1.7591,16,16,3760,16000,1,0,1,Benign
10.0.0.17,10.0.0.5,49994,80,6,2026-09-08 10:00:23,1.3595,12,29,2292,14761,1,0,1,Benign
192.168.1.100,10.0.0.2,55484,21,6,2026-09-08 10:00:22,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,52891,22,6,2026-09-08 10:00:22,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,51176,23,6,2026-09-08 10:00:22,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,56869,25,6,2026-09-08 10:00:23,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,54100,80,6,2026-09-08 10:00:23,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,55406,443,6,2026-09-08 10:00:22,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,55891,8080,6,2026-09-08 10:00:20,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,53353,8443,6,2026-09-08 10:00:22,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,54563,3389,6,2026-09-08 10:00:24,0.05,1,0,60,0,1,1,0,PortScan
10.0.0.17,10.0.0.2,56862,80,6,2026-09-08 10:00:25,2.0331,22,12,1342,13764,1,0,1,Benign
10.0.0.16,10.0.0.8,59680,80,6,2026-09-08 10:00:29,0.5588,7,5,434,5900,1,0,1,Benign
10.0.0.16,10.0.0.2,62630,443,6,2026-09-08 10:00:28,1.0041,13,15,923,14310,1,0,1,Benign
10.0.0.16,10.0.0.8,64136,53,17,2026-09-08 10:00:25,0.3352,10,28,2300,16996,0,0,0,Benign
10.0.0.16,10.0.0.5,58211,443,6,2026-09-08 10:00:26,1.8048,6,21,1302,18291,1,0,1,Benign
192.168.1.100,10.0.0.2,58646,21,6,2026-09-08 10:00:25,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,58768,22,6,2026-09-08 10:00:26,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,52824,23,6,2026-09-08 10:00:25,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,59331,25,6,2026-09-08 10:00:27,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,53757,80,6,2026-09-08 10:00:26,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,52198,443,6,2026-09-08 10:00:28,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,53766,8080,6,2026-09-08 10:00:25,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,56042,8443,6,2026-09-08 10:00:29,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,55845,3389,6,2026-09-08 10:00:27,0.05,1,0,60,0,1,1,0,PortScan
10.0.0.16,10.0.0.2,56350,80,6,2026-09-08 10:00:33,0.405,22,5,4884,5480,1,0,1,Benign
10.0.0.16,10.0.0.2,50663,80,6,2026-09-08 10:00:30,2.1301,15,5,2325,3555,1,0,1,Benign
10.0.0.16,10.0.0.8,49373,80,6,2026-09-08 10:00:30,1.1386,5,19,725,1957,1,0,1,Benign
10.0.0.17,10.0.0.8,51155,80,6,2026-09-08 10:00:33,0.2622,17,4,1496,4104,1,0,1,Benign
10.0.0.15,10.0.0.2,56704,443,6,2026-09-08 10:00:34,0.7847,20,19,3500,12787,1,0,1,Benign
192.168.1.100,10.0.0.2,59386,21,6,2026-09-08 10:00:30,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,50984,22,6,2026-09-08 10:00:31,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,54629,23,6,2026-09-08 10:00:31,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,53344,25,6,2026-09-08 10:00:33,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,56883,80,6,2026-09-08 10:00:31,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,54982,443,6,2026-09-08 10:00:32,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,55665,8080,6,2026-09-08 10:00:32,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,51561,8443,6,2026-09-08 10:00:30,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,57750,3389,6,2026-09-08 10:00:33,0.05,1,0,60,0,1,1,0,PortScan
10.0.0.15,10.0.0.2,58854,443,6,2026-09-08 10:00:39,2.1783,25,30,5775,3480,1,0,1,Benign
10.0.0.17,10.0.0.2,60786,80,6,2026-09-08 10:00:36,1.5117,12,13,2136,1599,1,0,1,Benign
10.0.0.17,10.0.0.2,61558,53,17,2026-09-08 10:00:39,0.0696,12,20,3480,16920,0,0,0,Benign
10.0.0.15,10.0.0.5,52331,80,6,2026-09-08 10:00:39,1.5826,18,23,2412,24104,1,0,1,Benign
10.0.0.17,10.0.0.5,51625,53,17,2026-09-08 10:00:37,2.3942,9,22,1989,24112,0,0,0,Benign
192.168.1.100,10.0.0.2,55403,21,6,2026-09-08 10:00:35,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,59255,22,6,2026-09-08 10:00:36,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,57387,23,6,2026-09-08 10:00:37,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,51659,25,6,2026-09-08 10:00:35,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,58221,80,6,2026-09-08 10:00:37,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,55226,443,6,2026-09-08 10:00:38,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,56077,8080,6,2026-09-08 10:00:35,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,54185,8443,6,2026-09-08 10:00:36,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,58054,3389,6,2026-09-08 10:00:38,0.05,1,0,60,0,1,1,0,PortScan
10.0.0.15,10.0.0.8,56224,80,6,2026-09-08 10:00:42,1.3078,19,7,4750,8337,1,0,1,Benign
10.0.0.16,10.0.0.5,55105,80,6,2026-09-08 10:00:44,1.4899,24,11,2880,12177,1,0,1,Benign
10.0.0.16,10.0.0.2,65112,443,6,2026-09-08 10:00:43,1.503,5,13,1230,2821,1,0,1,Benign
10.0.0.15,10.0.0.5,49596,80,6,2026-09-08 10:00:41,1.2246,21,27,4830,4104,1,0,1,Benign
10.0.0.16,10.0.0.5,51415,443,6,2026-09-08 10:00:40,1.4364,20,7,4260,5873,1,0,1,Benign
10.0.0.16,10.0.0.8,62748,80,6,2026-09-08 10:00:42,0.8945,21,12,5292,4848,1,0,1,Benign
10.0.0.16,10.0.0.5,54852,443,6,2026-09-08 10:00:43,2.036,23,6,2369,2364,1,0,1,Benign
192.168.1.100,10.0.0.2,51327,21,6,2026-09-08 10:00:44,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,59213,22,6,2026-09-08 10:00:42,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,56386,23,6,2026-09-08 10:00:42,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,54377,25,6,2026-09-08 10:00:41,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,57490,80,6,2026-09-08 10:00:41,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,59056,443,6,2026-09-08 10:00:40,0.05,1,1,60,60,1,0,0,PortScan
192.168.1.100,10.0.0.2,59383,8080,6,2026-09-08 10:00:41,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,56982,8443,6,2026-09-08 10:00:40,0.05,1,0,60,0,1,1,0,PortScan
192.168.1.100,10.0.0.2,58917,3389,6,2026-09-08 10:00:42,0.05,1,0,60,0,1,1,0,PortScan
10.0.0.17,10.0.0.8,64509,443,6,2026-09-08 10:00:48,1.4782,16,20,3808,9440,1,0,1,Benign
10.0.0.16,10.0.0.5,57917,443,6,2026-09-08 10:00:47,2.0324,17,10,4590,10830,1,0,1,Benign
10.0.0.15,10.0.0.2,61812,53,17,2026-09-08 10:00:47,1.1416,7,11,1925,7062,0,0,0,Benign
10.0.0.15,10.0.0.8,62456,443,6,2026-09-08 10:00:48,1.5406,8,10,2400,4250,1,0,1,Benign
10.0.0.15,10.0.0.8,59896,53,17,2026-09-08 10:00:48,2.1305,18,25,5256,13725,0,0,0,Benign
192.168.1.100,10.0.0.2,16019,80,6,2026-09-08 10:00:46,0.01,6,0,554,0,9,2,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,29884,80,6,2026-09-08 10:00:46,0.01,15,0,598,0,10,5,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,61388,80,6,2026-09-08 10:00:48,0.01,11,0,732,0,6,0,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,56560,80,6,2026-09-08 10:00:49,0.01,12,0,1155,0,8,1,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,5907,80,6,2026-09-08 10:00:49,0.01,11,0,532,0,13,0,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,62772,80,6,2026-09-08 10:00:46,0.01,9,0,1094,0,7,1,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,12101,80,6,2026-09-08 10:00:46,0.01,15,0,835,0,15,0,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,22059,80,6,2026-09-08 10:00:46,0.01,6,0,405,0,6,0,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,34454,80,6,2026-09-08 10:00:47,0.01,14,0,748,0,8,3,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,19849,80,6,2026-09-08 10:00:45,0.01,9,0,709,0,10,2,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,27519,80,6,2026-09-08 10:00:49,0.01,7,0,1159,0,9,5,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,5384,80,6,2026-09-08 10:00:45,0.01,20,0,1019,0,13,1,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,43603,80,6,2026-09-08 10:00:48,0.01,13,0,812,0,9,0,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,27861,80,6,2026-09-08 10:00:48,0.01,17,0,434,0,10,5,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,34909,80,6,2026-09-08 10:00:47,0.01,12,0,875,0,14,3,0,SSH-Bruteforce
10.0.0.17,10.0.0.8,59142,53,17,2026-09-08 10:00:54,2.3469,24,14,6456,4074,0,0,0,Benign
10.0.0.16,10.0.0.5,55093,53,17,2026-09-08 10:00:54,1.3891,7,10,1526,4490,0,0,0,Benign
10.0.0.16,10.0.0.2,53342,443,6,2026-09-08 10:00:53,1.9676,14,17,1820,15334,1,0,1,Benign
10.0.0.15,10.0.0.5,55110,443,6,2026-09-08 10:00:53,0.4408,9,7,990,6776,1,0,1,Benign
10.0.0.17,10.0.0.8,58218,443,6,2026-09-08 10:00:50,0.711,15,6,1305,2370,1,0,1,Benign
10.0.0.15,10.0.0.8,63077,443,6,2026-09-08 10:00:52,1.209,7,5,1799,4815,1,0,1,Benign
10.0.0.17,10.0.0.2,55002,443,6,2026-09-08 10:00:52,1.8748,22,8,2420,6768,1,0,1,Benign
192.168.1.100,10.0.0.2,43346,22,6,2026-09-08 10:00:54,0.01,20,0,619,0,10,1,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,36628,22,6,2026-09-08 10:00:51,0.01,8,0,693,0,7,5,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,16199,22,6,2026-09-08 10:00:50,0.01,13,0,368,0,5,3,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,38612,22,6,2026-09-08 10:00:51,0.01,16,0,469,0,12,1,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,10327,22,6,2026-09-08 10:00:54,0.01,12,0,1199,0,9,0,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,26630,22,6,2026-09-08 10:00:51,0.01,9,0,317,0,13,2,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,14401,22,6,2026-09-08 10:00:51,0.01,17,0,558,0,12,0,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,8998,22,6,2026-09-08 10:00:54,0.01,17,0,707,0,7,5,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,22999,22,6,2026-09-08 10:00:53,0.01,14,0,696,0,9,3,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,61142,22,6,2026-09-08 10:00:50,0.01,14,0,787,0,10,4,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,42807,22,6,2026-09-08 10:00:51,0.01,17,0,1081,0,13,2,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,39363,22,6,2026-09-08 10:00:51,0.01,5,0,759,0,9,0,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,14947,22,6,2026-09-08 10:00:52,0.01,12,0,1172,0,11,4,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,29017,22,6,2026-09-08 10:00:54,0.01,11,0,319,0,6,2,0,SSH-Bruteforce
192.168.1.100,10.0.0.2,14299,22,6,2026-09-08 10:00:51,0.01,9,0,1069,0,15,0,0,SSH-Bruteforce
10.0.0.15,10.0.0.8,50533,53,17,2026-09-08 10:00:57,1.8799,10,22,2220,24618,0,0,0,Benign
10.0.0.16,10.0.0.5,50221,443,6,2026-09-08 10:00:56,1.9432,15,7,3885,4634,1,0,1,Benign
10.0.0.16,10.0.0.2,63769,80,6,2026-09-08 10:00:59,2.2346,9,25,873,27225,1,0,1,Benign
10.0.0.15,10.0.0.5,63131,53,17,2026-09-08 10:00:56,1.6422,24,20,3096,18140,0,0,0,Benign
10.0.0.16,10.0.0.5,50748,53,17,2026-09-08 10:00:57,1.6613,4,27,556,31590,0,0,0,Benign
10.0.0.15,10.0.0.5,50175,53,17,2026-09-08 10:00:58,1.6391,24,21,2688,8883,0,0,0,Benign
10.0.0.17,10.0.0.5,60513,53,17,2026-09-08 10:00:55,0.7715,21,17,3381,2499,0,0,0,Benign
10.0.0.15,10.0.0.8,50326,80,6,2026-09-08 10:00:55,1.8831,25,10,5850,5380,1,0,1,Benign
192.168.1.100,10.0.0.2,10557,80,6,2026-09-08 10:00:56,0.01,11,0,382,0,8,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,15307,80,6,2026-09-08 10:00:56,0.01,11,0,1108,0,6,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,54609,80,6,2026-09-08 10:00:59,0.01,7,0,1191,0,5,0,0,DoS-SynFlood
192.168.1.100,10.0.0.2,5888,80,6,2026-09-08 10:00:55,0.01,12,0,457,0,9,1,0,DoS-SynFlood
192.168.1.100,10.0.0.2,27114,80,6,2026-09-08 10:00:57,0.01,15,0,578,0,5,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,19970,80,6,2026-09-08 10:00:59,0.01,6,0,805,0,12,1,0,DoS-SynFlood
192.168.1.100,10.0.0.2,39287,80,6,2026-09-08 10:00:58,0.01,19,0,1077,0,5,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,27057,80,6,2026-09-08 10:00:55,0.01,9,0,1179,0,13,2,0,DoS-SynFlood
192.168.1.100,10.0.0.2,25704,80,6,2026-09-08 10:00:58,0.01,17,0,821,0,15,1,0,DoS-SynFlood
192.168.1.100,10.0.0.2,62810,80,6,2026-09-08 10:00:56,0.01,6,0,808,0,5,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,26057,80,6,2026-09-08 10:00:57,0.01,13,0,1103,0,15,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,36175,80,6,2026-09-08 10:00:56,0.01,18,0,613,0,9,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,20818,80,6,2026-09-08 10:00:55,0.01,8,0,317,0,15,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,12329,80,6,2026-09-08 10:00:56,0.01,7,0,1074,0,6,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,30447,80,6,2026-09-08 10:00:55,0.01,13,0,783,0,5,4,0,DoS-SynFlood
10.0.0.17,10.0.0.5,57448,80,6,2026-09-08 10:01:00,1.237,19,15,2489,16125,1,0,1,Benign
10.0.0.15,10.0.0.2,52865,53,17,2026-09-08 10:01:01,1.2558,20,12,2360,1272,0,0,0,Benign
10.0.0.16,10.0.0.8,58906,443,6,2026-09-08 10:01:00,1.303,15,22,3855,13200,1,0,1,Benign
10.0.0.17,10.0.0.5,49440,80,6,2026-09-08 10:01:03,0.8935,20,15,2720,14430,1,0,1,Benign
10.0.0.15,10.0.0.8,54537,80,6,2026-09-08 10:01:04,1.1049,24,24,5136,18480,1,0,1,Benign
10.0.0.15,10.0.0.8,49357,443,6,2026-09-08 10:01:00,0.6029,9,24,1791,3792,1,0,1,Benign
10.0.0.16,10.0.0.8,61861,53,17,2026-09-08 10:01:00,0.6685,7,27,1918,22329,0,0,0,Benign
10.0.0.16,10.0.0.2,49375,53,17,2026-09-08 10:01:04,1.0089,15,4,2430,2440,0,0,0,Benign
192.168.1.100,10.0.0.2,26469,22,6,2026-09-08 10:01:04,0.01,11,0,490,0,14,0,0,DoS-SynFlood
192.168.1.100,10.0.0.2,13875,22,6,2026-09-08 10:01:01,0.01,8,0,958,0,15,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,3720,22,6,2026-09-08 10:01:03,0.01,13,0,432,0,10,3,0,DoS-SynFlood
192.168.1.100,10.0.0.2,51072,22,6,2026-09-08 10:01:03,0.01,7,0,700,0,12,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,3482,22,6,2026-09-08 10:01:01,0.01,14,0,874,0,5,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,44263,22,6,2026-09-08 10:01:00,0.01,10,0,935,0,7,1,0,DoS-SynFlood
192.168.1.100,10.0.0.2,31194,22,6,2026-09-08 10:01:01,0.01,17,0,870,0,11,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,40973,22,6,2026-09-08 10:01:03,0.01,11,0,961,0,7,1,0,DoS-SynFlood
192.168.1.100,10.0.0.2,13248,22,6,2026-09-08 10:01:01,0.01,13,0,681,0,5,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,5432,22,6,2026-09-08 10:01:04,0.01,16,0,1041,0,5,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,20563,22,6,2026-09-08 10:01:03,0.01,17,0,1197,0,12,1,0,DoS-SynFlood
192.168.1.100,10.0.0.2,12757,22,6,2026-09-08 10:01:03,0.01,15,0,593,0,14,2,0,DoS-SynFlood
192.168.1.100,10.0.0.2,43739,22,6,2026-09-08 10:01:02,0.01,9,0,657,0,7,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,62179,22,6,2026-09-08 10:01:03,0.01,10,0,750,0,5,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,26721,22,6,2026-09-08 10:01:01,0.01,12,0,521,0,14,4,0,DoS-SynFlood
10.0.0.15,10.0.0.5,49613,53,17,2026-09-08 10:01:06,0.2797,8,18,1176,15750,0,0,0,Benign
10.0.0.16,10.0.0.2,55597,443,6,2026-09-08 10:01:07,0.9127,15,20,3285,13740,1,0,1,Benign
10.0.0.15,10.0.0.2,56187,53,17,2026-09-08 10:01:07,1.9417,14,21,2002,13020,0,0,0,Benign
10.0.0.16,10.0.0.5,61326,443,6,2026-09-08 10:01:07,1.6446,15,12,1860,1128,1,0,1,Benign
10.0.0.16,10.0.0.2,63591,80,6,2026-09-08 10:01:08,1.3142,16,22,1280,3740,1,0,1,Benign
10.0.0.16,10.0.0.8,59771,80,6,2026-09-08 10:01:05,1.4906,13,12,1482,3096,1,0,1,Benign
192.168.1.100,10.0.0.2,21045,80,6,2026-09-08 10:01:08,0.01,10,0,443,0,6,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,55484,80,6,2026-09-08 10:01:09,0.01,7,0,375,0,5,1,0,DoS-SynFlood
192.168.1.100,10.0.0.2,58247,80,6,2026-09-08 10:01:09,0.01,14,0,800,0,9,3,0,DoS-SynFlood
192.168.1.100,10.0.0.2,44469,80,6,2026-09-08 10:01:06,0.01,18,0,1108,0,14,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,26109,80,6,2026-09-08 10:01:08,0.01,7,0,1008,0,12,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,13275,80,6,2026-09-08 10:01:06,0.01,11,0,782,0,12,3,0,DoS-SynFlood
192.168.1.100,10.0.0.2,54173,80,6,2026-09-08 10:01:08,0.01,15,0,388,0,15,1,0,DoS-SynFlood
192.168.1.100,10.0.0.2,19034,80,6,2026-09-08 10:01:05,0.01,10,0,877,0,13,0,0,DoS-SynFlood
192.168.1.100,10.0.0.2,46209,80,6,2026-09-08 10:01:07,0.01,5,0,803,0,11,3,0,DoS-SynFlood
192.168.1.100,10.0.0.2,42287,80,6,2026-09-08 10:01:09,0.01,19,0,758,0,6,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,41387,80,6,2026-09-08 10:01:07,0.01,14,0,874,0,15,2,0,DoS-SynFlood
192.168.1.100,10.0.0.2,59089,80,6,2026-09-08 10:01:08,0.01,7,0,1036,0,5,2,0,DoS-SynFlood
192.168.1.100,10.0.0.2,43996,80,6,2026-09-08 10:01:09,0.01,18,0,352,0,14,1,0,DoS-SynFlood
192.168.1.100,10.0.0.2,51911,80,6,2026-09-08 10:01:05,0.01,10,0,822,0,10,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,1639,80,6,2026-09-08 10:01:06,0.01,8,0,710,0,10,2,0,DoS-SynFlood
10.0.0.17,10.0.0.8,49285,80,6,2026-09-08 10:01:14,0.7822,16,26,2160,19032,1,0,1,Benign
10.0.0.17,10.0.0.2,49944,443,6,2026-09-08 10:01:14,0.5944,13,12,3445,1980,1,0,1,Benign
10.0.0.17,10.0.0.5,64428,443,6,2026-09-08 10:01:13,0.2375,23,7,3220,7070,1,0,1,Benign
10.0.0.15,10.0.0.5,64998,53,17,2026-09-08 10:01:13,0.8363,12,30,2268,5040,0,0,0,Benign
10.0.0.16,10.0.0.2,63644,80,6,2026-09-08 10:01:14,1.3678,15,18,1275,14724,1,0,1,Benign
192.168.1.100,10.0.0.2,5868,22,6,2026-09-08 10:01:11,0.01,20,0,319,0,14,3,0,DoS-SynFlood
192.168.1.100,10.0.0.2,15402,22,6,2026-09-08 10:01:13,0.01,19,0,1129,0,5,3,0,DoS-SynFlood
192.168.1.100,10.0.0.2,17388,22,6,2026-09-08 10:01:10,0.01,8,0,905,0,14,3,0,DoS-SynFlood
192.168.1.100,10.0.0.2,27225,22,6,2026-09-08 10:01:14,0.01,18,0,547,0,13,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,44990,22,6,2026-09-08 10:01:11,0.01,18,0,567,0,6,0,0,DoS-SynFlood
192.168.1.100,10.0.0.2,13947,22,6,2026-09-08 10:01:11,0.01,10,0,348,0,11,0,0,DoS-SynFlood
192.168.1.100,10.0.0.2,46361,22,6,2026-09-08 10:01:12,0.01,19,0,936,0,5,5,0,DoS-SynFlood
192.168.1.100,10.0.0.2,8257,22,6,2026-09-08 10:01:14,0.01,7,0,371,0,11,4,0,DoS-SynFlood
192.168.1.100,10.0.0.2,33963,22,6,2026-09-08 10:01:13,0.01,20,0,309,0,8,0,0,DoS-SynFlood
192.168.1.100,10.0.0.2,25246,22,6,2026-09-08 10:01:11,0.01,9,0,940,0,6,3,0,DoS-SynFlood
